trans1p0.dat
0 0 0 0	-2.393948098020877779e+01
1 0 1 0	-1.054548660071587429e+00
2 0 0 1	-9.111423709522717407e-02
3 0 1 1	1.202010422660697471e-02
4 0 0 2.64575	-1.856634136686042061e-03
5 0 1 2.64575	-6.536540256278850543e-04
6 0 0 2	8.118475400165508366e-03
7 0 1 2	8.670651434340008760e-04
8 0 0 1.73205	1.127519964026840044e-02
9 0 1 1.73205	7.243177158263955926e-04
trans1p1.dat
0 0 0 0	-2.588874658272929352e+01
1 0 1 0	-9.263369982013420767e-01
2 0 0 1	-3.322024249096183768e-02
3 0 1 1	-9.769361240990257975e-03
4 0 0 2.64575	-5.795721794059642031e-03
5 0 1 2.64575	-1.387567976617446125e-03
6 0 0 2	1.399067648380310398e-02
7 0 1 2	2.400531866005962273e-03
8 0 0 1.73205	1.669508295861291819e-02
9 0 1 1.73205	-5.636634357015664169e-03
trans2p1.dat
0 0 0 0	-3.127131687041540431e+01
1 0 1 0	-1.266491784841059065e+00
2 0 0 1	-1.099925452322695618e-01
3 0 1 1	6.828880293392308991e-04
4 0 0 2.64575	-1.076173667481636689e-02
5 0 1 2.64575	-2.533049168704091386e-03
6 0 0 2	2.677449119804332228e-02
7 0 1 2	7.665076185820022831e-04
8 0 0 1.73205	3.910870464547556991e-02
9 0 1 1.73205	-7.598662885085487491e-03
trans2p2.dat
0 0 0 0	-2.962757677261588540e+01
1 0 1 0	-3.748791100244428659e-02
2 0 0 1	-3.299327041564717455e-01
3 0 1 1	-6.361317995109867784e-03
4 0 0 2.64575	-2.234717286063514149e-02
5 0 1 2.64575	-5.502882493887413344e-04
6 0 0 2	5.137770464547557203e-02
7 0 1 2	1.126983667481636607e-03
8 0 0 1.73205	8.163561320293188928e-02
9 0 1 1.73205	1.750041491442503152e-03
